word;category;mean Happiness;mean Anger;mean Sadness;mean Fear;mean Disgust;H;A;S;F;D;N;min distance;category;;emotions
szpikowaæ;U;1.385;2.462;2.577;3.808;3.154;7.689;6.920;6.855;5.569;6.312;4.697;4.697;N;;
szpon;F;1.538;2.385;2.038;3.615;2.769;7.306;6.715;7.068;5.346;6.379;4.633;4.633;N;;
szpulka;N;1.769;1.154;1.346;1.423;1.154;5.403;6.168;5.958;5.868;6.171;1.392;1.392;N;;
sztama;U;4.538;1.192;1.115;1.346;1.192;2.816;7.149;7.215;7.030;7.127;3.779;2.816;H;;
sztanga;U;2.615;2.038;1.385;2.038;1.538;5.310;6.088;6.689;6.083;6.553;2.837;2.837;N;;
sztorm;F;2.259;2.111;2.370;4.519;1.889;6.855;7.314;7.122;4.517;7.502;5.210;4.517;F;;
sztuæce;N;2.444;1.259;1.222;1.519;1.185;4.861;6.279;6.305;6.021;6.353;1.792;1.792;N;;
sztuka;U;4.963;1.519;1.852;1.630;1.333;3.059;7.382;7.105;7.304;7.532;4.586;3.059;H;;
sztylet;U;1.654;3.615;2.923;4.538;3.077;8.091;7.005;7.544;6.078;7.390;6.093;6.078;F;;
sztywny;U;2.037;2.556;1.889;2.185;2.259;6.350;5.947;6.758;6.414;6.315;3.815;3.815;N;;
szubienica;U;1.231;3.692;5.154;5.231;3.923;9.866;8.302;7.118;6.971;8.060;7.871;6.971;F;;
szuja;U;1.407;4.704;2.667;2.667;4.222;8.427;5.868;7.657;7.584;6.381;6.022;5.868;A;;
szukaæ;U;2.885;2.962;2.385;2.962;1.577;5.807;5.952;6.486;5.964;7.223;4.351;4.351;N;;
szykanowaæ;U;1.231;4.346;3.769;3.654;3.615;8.757;6.240;6.858;6.890;7.026;6.366;6.240;A;;
œciana;U;2.037;2.111;1.741;1.815;1.333;5.640;5.744;6.169;6.091;6.556;2.529;2.529;N;;
œcieki;D;1.077;2.000;2.038;2.269;5.269;8.079;7.432;7.394;7.217;3.562;5.199;3.562;D;;
œciemniaæ;U;1.852;3.667;2.630;2.556;3.148;7.379;5.843;6.797;6.937;6.451;4.895;4.895;N;;
œciêgno;N;1.815;1.593;1.667;2.037;1.778;5.995;6.362;6.297;5.899;6.054;2.481;2.481;N;;
œcigaæ;F;1.577;3.538;2.769;4.731;2.346;8.041;6.567;7.282;5.289;7.629;5.609;5.289;F;;
œcinaæ;U;1.577;2.962;3.000;2.846;1.769;7.016;5.814;5.803;5.918;6.946;4.101;4.101;N;;
œlad;N;2.538;1.654;1.692;1.962;1.269;5.213;6.226;6.206;5.955;6.576;2.441;2.441;N;;
œledziæ;F;1.885;2.538;1.538;3.346;2.154;6.509;5.988;6.917;5.046;6.317;3.988;3.988;N;;
œledŸ;D;2.462;1.115;1.154;1.038;2.500;5.036;6.654;6.623;6.743;4.979;2.782;2.782;N;;
œlepy;S;1.192;2.231;4.192;3.462;1.462;7.731;7.037;4.905;5.884;7.591;4.891;4.891;N;;
œliczny;H;5.385;1.231;1.269;1.346;1.231;2.005;7.641;7.590;7.533;7.618;4.826;2.005;H;;
œlimak;D;2.115;1.538;1.615;1.615;3.154;6.008;6.698;6.647;6.700;4.940;3.437;3.437;N;;
œliski;U;2.000;2.185;2.074;2.778;2.519;6.499;6.326;6.504;5.788;5.928;3.700;3.700;N;;
œlub;U;4.923;1.538;1.923;4.077;1.808;4.617;7.990;7.654;5.762;7.665;5.718;4.617;H;;
œluz;D;1.500;1.500;1.462;2.115;4.192;7.020;7.128;7.188;6.548;3.869;4.224;3.869;D;;
œmia³y;U;4.000;1.885;1.346;1.885;1.192;3.918;6.605;7.043;6.584;7.192;3.696;3.696;N;;
œmiech;H;6.519;1.037;1.000;1.111;1.111;0.594;8.165;8.200;8.106;8.106;5.557;0.594;H;;
œmieæ;U;1.308;4.077;3.308;2.462;3.654;8.248;5.989;6.790;7.479;6.311;5.642;5.642;N;;
œmieræ;U;1.296;3.815;5.889;6.000;3.148;10.202;8.789;7.119;7.021;9.273;8.382;7.021;F;;
œmierdz¹cy;U;1.037;4.296;3.148;2.926;5.778;9.539;7.268;8.219;8.423;5.659;7.162;5.659;D;;
œmietana;U;2.962;1.500;1.192;1.385;1.923;4.609;6.586;6.843;6.688;6.063;3.091;3.091;N;;
œniæ;U;4.769;1.769;1.885;3.077;1.385;4.043;7.500;7.415;6.397;7.830;5.238;4.043;H;;
œnieg;U;3.885;2.692;1.731;1.538;2.000;4.377;6.395;7.279;7.416;7.056;4.737;4.377;H;;
œpiew;U;4.692;1.538;1.962;1.846;1.462;3.628;7.296;6.938;7.021;7.316;4.414;3.628;H;;
œpiewaæ;U;5.462;1.538;1.731;1.615;1.423;2.650;7.613;7.436;7.563;7.712;5.089;2.650;H;;
œrodek;U;2.731;1.692;1.923;1.846;1.731;5.181;6.405;6.176;6.256;6.334;2.827;2.827;N;;
œrodowisko;U;3.185;1.704;1.630;1.667;1.556;4.500;6.418;6.461;6.484;6.574;3.157;3.157;N;;
œruba;U;2.074;1.926;1.852;2.185;1.926;5.941;6.300;6.357;6.018;6.285;2.666;2.666;N;;
œwiadectwo;U;4.038;1.500;1.423;1.654;1.077;3.635;6.861;6.877;6.758;7.214;3.595;3.595;N;;
œwiadek;U;2.444;1.926;2.000;2.630;1.407;5.756;6.287;6.278;5.604;6.829;3.263;3.263;N;;
œwiadkowa;U;4.074;1.185;1.444;2.222;1.111;3.741;7.205;6.961;6.259;7.253;3.795;3.741;H;;
œwiat;U;4.923;2.538;2.846;3.154;1.885;4.676;7.497;7.236;6.937;7.948;5.814;4.676;H;;
œwiat³o;U;4.385;1.462;1.231;1.423;1.192;3.132;6.897;7.106;6.945;7.114;3.733;3.132;H;;
œwi¹teczny;U;4.885;1.615;1.885;1.808;1.577;2.985;7.441;7.216;7.286;7.497;5.040;2.985;H;;
œwi¹tynia;U;3.423;1.577;1.923;1.962;1.423;4.397;6.607;6.304;6.230;6.776;3.549;3.549;N;;
œwieca;U;3.444;1.370;2.074;1.852;1.519;4.561;6.881;6.176;6.442;6.736;3.280;3.280;N;;
œwieciæ;U;4.192;1.577;1.654;1.423;1.154;3.454;6.859;6.762;6.951;7.222;3.844;3.454;H;;
œwierk;U;4.259;1.556;1.556;1.630;1.333;3.495;6.969;6.895;6.892;7.141;3.906;3.495;H;;
œwietny;H;5.667;1.370;1.370;1.370;1.222;1.974;7.556;7.568;7.553;7.691;4.933;1.974;H;;
œwiêto;U;5.000;1.615;1.692;1.615;1.423;2.710;7.229;7.140;7.225;7.402;4.703;2.710;H;;
œwiêtokradztwo;U;1.038;3.423;2.846;2.692;4.077;8.296;6.378;7.017;7.112;5.750;5.199;5.199;N;;
œwiêtowaæ;H;5.741;1.519;1.370;1.407;1.370;2.029;7.615;7.745;7.702;7.719;5.148;2.029;H;;
œwinia;U;1.963;2.185;2.037;2.148;2.963;6.522;6.691;6.782;6.745;5.868;3.877;3.877;N;;
tabletka;U;1.704;2.185;2.593;3.222;2.333;6.899;6.630;6.241;5.548;6.434;3.788;3.788;N;;
tablica;U;1.852;2.037;1.519;2.519;1.889;6.194;6.201;6.620;5.716;6.348;2.932;2.932;N;;
tabu;U;1.769;2.423;2.731;2.923;2.385;6.958;6.661;6.392;6.035;6.743;4.284;4.284;N;;
taca;N;2.077;1.885;1.654;1.500;1.692;5.495;5.864;6.128;6.294;6.093;2.328;2.328;N;;
tajemnica;U;3.846;2.231;1.808;3.269;1.923;5.240;7.000;7.350;6.100;7.281;4.898;4.898;N;;
tajfun;F;1.538;3.115;3.692;5.115;1.808;8.476;7.471;6.975;5.318;8.359;6.158;5.318;F;;
tajny;F;2.077;1.846;1.731;3.077;1.615;5.934;6.214;6.348;4.792;6.489;3.381;3.381;N;;
taktowny;U;4.231;1.500;1.346;1.538;1.500;3.469;7.018;7.171;7.009;6.983;3.890;3.469;H;;
taktyczny;U;2.704;1.667;1.630;1.926;1.481;5.017;6.229;6.261;5.959;6.400;2.579;2.579;N;;
talar;U;2.692;1.462;1.654;1.462;1.692;4.973;6.606;6.426;6.604;6.398;2.570;2.570;N;;
talent;H;6.259;1.667;1.148;1.630;1.037;1.655;7.689;8.166;7.784;8.238;5.614;1.655;H;;
talerz;U;2.731;1.885;1.538;1.500;1.269;5.014;6.151;6.492;6.519;6.720;2.600;2.600;N;;
tampon;D;1.667;2.148;2.074;2.185;2.852;6.782;6.336;6.427;6.382;5.473;3.330;3.330;N;;
tandem;U;3.000;1.500;1.500;2.000;1.615;4.831;6.884;6.843;6.459;6.795;3.138;3.138;N;;
tandetny;A;1.346;3.885;2.385;1.808;3.385;7.600;5.262;6.852;7.338;5.933;4.787;4.787;N;;
tañczyæ;H;5.519;1.259;1.370;1.926;1.259;2.331;7.724;7.645;7.094;7.724;5.022;2.331;H;;
taryfa;U;2.308;1.962;1.577;1.962;1.769;5.542;6.028;6.419;6.061;6.181;2.756;2.756;N;;
tata;U;4.846;2.346;2.115;1.808;1.538;3.649;7.195;7.360;7.661;7.803;5.385;3.649;H;;
Tatry;U;4.885;1.308;1.808;2.231;1.192;3.457;7.553;7.150;6.774;7.609;4.549;3.457;H;;
tchórzliwy;U;1.346;3.769;2.846;3.115;3.346;8.361;6.362;7.323;6.843;6.661;5.558;5.558;N;;
teatr;U;5.222;1.704;2.185;1.593;1.370;3.183;7.507;7.082;7.601;7.766;4.885;3.183;H;;
teczka;U;2.115;2.154;1.654;2.346;1.962;6.167;6.340;6.764;6.161;6.445;2.953;2.953;N;;
telefon;U;4.259;2.593;1.222;2.593;1.667;4.481;6.557;7.640;6.505;7.359;4.595;4.481;H;;
telefonowaæ;U;2.808;2.115;1.808;2.577;1.615;5.435;6.384;6.634;5.837;6.787;3.466;3.466;N;;
telepaæ;U;1.654;2.846;2.462;3.115;2.885;7.237;6.394;6.879;6.223;6.469;4.586;4.586;N;;
teleskop;U;3.556;1.259;1.370;1.407;1.074;3.850;6.831;6.720;6.666;6.979;2.936;2.936;N;;
telewizyjny;U;2.192;2.423;2.077;1.731;2.692;6.381;6.465;6.837;7.106;6.060;3.740;3.740;N;;
tematyczny;N;2.423;1.500;1.423;1.500;1.385;5.055;6.196;6.309;6.214;6.324;2.119;2.119;N;;
tempo;U;3.407;1.926;1.296;2.333;1.185;4.654;6.291;6.944;5.942;7.024;3.447;3.447;N;;
tendencyjny;U;1.538;2.962;2.077;1.808;3.115;7.192;5.879;6.753;7.048;5.569;3.932;3.932;N;;
tenor;U;3.852;1.333;1.222;1.259;1.370;3.523;6.818;6.917;6.870;6.758;3.209;3.209;N;;
terapeutyczny;U;3.308;2.192;1.962;2.462;1.692;5.219;6.524;6.603;6.272;6.962;3.828;3.828;N;;
termin;F;1.885;2.192;2.038;2.769;1.500;6.192;5.966;6.189;5.329;6.667;3.219;3.219;N;;
termy;U;3.923;1.269;1.308;1.385;1.731;3.593;7.137;7.119;7.062;6.656;3.890;3.593;H;;
terrorystyczny;U;1.444;4.259;4.222;5.148;4.741;9.712;7.991;7.980;7.240;7.638;7.595;7.240;F;;
test;F;1.923;2.577;2.385;4.154;2.154;7.126;6.771;6.938;5.052;7.079;4.820;4.820;N;;
testowaæ;F;2.077;2.115;1.808;3.192;2.000;6.188;6.320;6.615;5.146;6.469;3.634;3.634;N;;
têpy;A;1.231;3.731;2.769;1.923;2.654;7.530;5.123;6.219;6.952;6.360;4.516;4.516;N;;
têskniæ;S;1.538;2.423;5.231;3.231;1.654;8.012;7.597;4.498;6.961;8.120;5.734;4.498;S;;
thriller;F;2.269;1.654;1.692;3.000;1.654;5.858;6.616;6.562;5.179;6.624;3.732;3.732;N;;
tkacz;N;2.038;1.154;1.385;1.115;1.192;5.224;6.241;5.988;6.277;6.210;1.303;1.303;N;;
t³uszcz;U;1.423;2.923;2.346;2.385;3.769;7.556;6.497;6.999;6.910;5.518;4.614;4.614;N;;
toaleta;U;2.846;1.538;1.192;1.692;2.692;5.417;6.788;7.048;6.624;5.708;3.218;3.218;N;;
toast;H;5.407;1.296;1.148;1.185;1.111;1.958;7.390;7.509;7.477;7.520;4.513;1.958;H;;
toksyczny;U;1.308;2.577;2.577;4.346;4.538;8.470;7.619;7.683;6.059;5.757;6.047;5.757;D;;
tolerancja;U;4.667;2.222;1.926;1.926;1.407;3.659;6.923;7.266;7.257;7.688;5.044;3.659;H;;
tolerancyjny;U;3.654;1.885;1.615;2.000;2.077;4.524;7.049;7.299;6.975;6.895;4.160;4.160;N;;
topór;U;1.923;2.538;2.269;3.846;2.423;7.072;6.958;7.265;5.667;7.094;4.783;4.783;N;;
torba;N;2.385;1.269;1.308;1.500;1.385;5.089;6.403;6.370;6.162;6.217;1.978;1.978;N;;
torfowisko;U;2.192;1.615;1.462;2.115;2.192;5.691;6.465;6.614;5.981;5.847;2.879;2.879;N;;
torpeda;F;2.423;1.654;1.346;2.962;1.500;5.583;6.622;6.897;5.166;6.773;3.408;3.408;N;;
tort;H;5.519;1.370;1.407;1.444;1.259;2.146;7.535;7.521;7.488;7.617;4.832;2.146;H;;
tortura;U;1.308;4.615;4.808;5.885;5.115;10.389;8.403;8.306;7.379;7.978;8.657;7.379;F;;
torturowaæ;U;1.077;4.923;4.923;5.769;4.846;10.568;8.131;8.158;7.517;8.222;8.595;7.517;F;;
tost;U;4.115;1.385;1.423;1.346;1.423;3.394;6.963;6.918;6.994;6.860;3.617;3.394;H;;
toster;U;4.000;1.296;1.111;1.296;1.222;3.260;6.925;7.080;6.924;6.994;3.321;3.260;H;;
towarzysz;U;5.259;1.519;1.222;1.963;1.296;2.766;7.468;7.717;7.097;7.505;4.894;2.766;H;;
towarzyszyæ;U;5.231;1.346;1.385;1.769;1.077;2.534;7.410;7.338;7.047;7.592;4.559;2.534;H;;
traciæ;U;1.192;4.231;5.077;5.154;1.692;9.233;7.075;6.260;6.144;8.882;7.036;6.144;F;;
tradycyjny;U;3.308;2.385;1.923;1.885;1.885;4.706;6.020;6.477;6.514;6.495;3.919;3.919;N;;
tragiczny;U;1.154;3.308;4.923;4.615;2.500;8.985;7.391;5.822;6.315;8.099;6.627;5.822;S;;
tragizm;U;1.370;3.593;4.815;4.667;2.481;8.932;7.446;6.386;6.589;8.312;6.737;6.386;S;;
traktor;N;2.154;1.577;1.346;1.577;1.423;5.274;6.015;6.284;6.043;6.203;2.108;2.108;N;;
trans;F;2.462;1.808;1.731;3.115;1.769;5.925;6.616;6.711;5.231;6.545;3.749;3.749;N;;
traszka;N;1.926;1.185;1.148;1.259;1.519;5.301;6.221;6.262;6.139;5.835;1.482;1.482;N;;
tratwa;U;3.615;1.385;1.538;2.962;1.077;4.695;7.214;7.064;5.730;7.435;3.900;3.900;N;;
traumatyczny;U;1.115;3.538;4.692;5.269;3.077;9.552;8.048;7.080;6.504;8.335;7.025;6.504;F;;
trawa;U;4.500;1.231;1.115;1.154;1.538;2.958;7.064;7.186;7.155;6.822;3.789;2.958;H;;
tr¹biæ;A;1.808;3.000;1.423;2.000;1.769;6.294;5.089;6.829;6.286;6.530;3.328;3.328;N;;
tr¹d;U;1.000;2.538;3.769;4.423;4.923;9.298;8.373;7.335;6.886;6.242;6.669;6.242;D;;
trend;U;1.962;2.615;1.692;1.808;2.269;6.133;5.647;6.605;6.489;5.943;3.285;3.285;N;;
triumfalny;U;5.077;1.769;1.308;1.615;1.385;2.747;7.215;7.618;7.334;7.559;4.793;2.747;H;;
tron;U;3.846;1.923;1.615;2.308;1.615;4.311;6.711;6.936;6.329;6.973;4.128;4.128;N;;
tropikalny;U;4.346;1.462;1.462;2.346;1.846;3.925;7.464;7.400;6.641;7.139;4.525;3.925;H;;
tropiki;U;4.519;1.704;1.593;2.074;1.630;3.637;7.252;7.313;6.881;7.237;4.676;3.637;H;;
troskliwy;U;5.077;1.654;1.538;1.346;1.115;2.738;7.125;7.217;7.383;7.566;4.515;2.738;H;;
trójk¹t;U;3.500;1.654;1.885;2.423;1.885;4.884;7.142;6.934;6.487;6.953;3.961;3.961;N;;
trucizna;U;1.222;4.259;4.296;5.519;5.111;10.105;8.320;8.261;7.145;7.578;8.058;7.145;F;;
trud;U;2.926;3.296;2.704;3.519;2.000;6.412;6.186;6.773;5.956;7.384;5.232;5.232;N;;
trumna;U;1.115;2.346;4.577;4.500;2.500;8.631;7.811;5.784;5.944;7.701;5.825;5.784;S;;
trunek;U;3.385;1.923;1.808;2.038;1.846;4.700;6.832;6.911;6.699;6.912;3.720;3.720;N;;
trup;U;1.231;2.885;3.885;4.462;3.923;8.859;7.975;7.182;6.529;6.917;6.319;6.319;N;;
truskawkowy;H;5.077;1.192;1.231;1.462;1.346;2.388;7.612;7.574;7.352;7.440;4.667;2.388;H;;
trwaæ;U;4.296;1.667;1.444;2.111;1.519;3.705;7.172;7.333;6.783;7.289;4.240;3.705;H;;
trwa³y;U;4.731;1.269;1.500;1.654;1.115;2.906;7.330;7.166;7.049;7.479;4.252;2.906;H;;
trzêsawisko;F;1.615;2.308;2.385;3.846;2.731;7.386;7.067;7.003;5.402;6.490;4.571;4.571;N;;
trzêsienie;F;1.115;2.423;3.000;4.731;1.731;8.024;7.012;6.611;4.545;7.628;5.035;4.545;F;;
tulipan;U;4.654;1.231;1.577;1.308;1.231;2.807;7.223;6.933;7.189;7.245;4.082;2.807;H;;
tunel;F;2.519;1.667;1.704;3.074;1.630;5.727;6.717;6.629;5.091;6.732;3.518;3.518;N;;
turban;U;2.423;2.154;1.923;2.077;1.962;5.658;6.268;6.548;6.343;6.443;3.412;3.412;N;;
turystyczny;U;4.538;1.731;1.654;1.885;1.538;3.497;6.964;7.090;6.866;7.195;4.482;3.497;H;;
tuzin;N;2.731;1.192;1.154;1.154;1.231;4.418;6.357;6.405;6.403;6.322;1.986;1.986;N;;
twarz;U;3.296;1.630;1.741;1.556;1.407;4.499;6.577;6.448;6.614;6.756;2.995;2.995;N;;
twierdza;U;3.154;1.192;1.308;2.462;1.269;4.762;6.973;6.887;5.697;6.915;3.186;3.186;N;;
twierdziæ;N;2.296;1.852;1.519;1.630;1.481;5.364;5.881;6.250;6.129;6.270;2.241;2.241;N;;
tworzenie;U;4.852;1.741;1.741;1.778;1.333;3.165;7.014;6.984;6.933;7.341;4.564;3.165;H;;
twórczy;U;5.308;1.577;1.962;1.615;1.385;2.889;7.579;7.282;7.560;7.732;4.978;2.889;H;;
tyæ;U;1.500;4.000;3.962;3.962;4.269;8.777;7.348;7.376;7.353;7.087;6.669;6.669;N;;
tydzieñ;U;3.154;2.077;1.923;2.308;1.423;5.213;6.528;6.658;6.316;7.016;3.351;3.351;N;;
tyfus;U;1.192;2.808;4.269;4.923;4.962;9.450;8.569;7.512;6.882;6.875;7.252;6.875;D;;
tygrys;F;2.962;1.192;1.346;3.808;1.269;5.463;7.251;7.151;4.429;7.201;3.963;3.963;N;;
typowaæ;F;2.192;1.654;1.346;2.769;1.538;5.644;6.294;6.547;5.071;6.367;2.732;2.732;N;;
tyraæ;U;1.192;5.038;3.808;3.308;3.500;9.113;5.993;7.374;7.740;7.590;6.799;5.993;A;;
tyran;U;1.346;5.577;4.462;5.346;4.500;10.270;7.380;8.338;7.632;8.279;8.484;7.380;A;;
tytoniowy;U;1.885;2.962;3.038;2.577;3.615;7.342;6.793;6.682;7.005;6.153;5.019;5.019;N;;
tytu³;U;3.308;1.500;1.577;1.423;1.308;4.357;6.636;6.583;6.713;6.813;2.866;2.866;N;;
ubogi;S;1.667;2.667;4.593;3.148;1.963;7.664;7.042;4.861;6.524;7.565;5.471;4.861;S;;
ubolewaæ;S;1.231;3.231;4.192;2.923;2.423;7.968;6.366;5.278;6.676;7.172;5.116;5.116;N;;
ubywaæ;S;1.778;3.000;3.296;2.667;1.667;6.965;5.710;5.434;6.129;7.099;4.345;4.345;N;;
uchodŸca;U;1.769;2.423;3.500;3.654;1.846;7.538;7.161;6.048;5.778;7.481;4.958;4.958;N;;
uchroniæ;U;4.038;1.808;2.308;3.231;1.423;4.928;7.233;6.768;6.016;7.524;4.802;4.802;N;;
uciekaæ;F;1.500;2.385;2.615;4.231;2.192;7.517;7.059;6.739;4.962;7.182;4.894;4.894;N;;
uczciæ;U;5.231;1.423;1.808;1.654;1.423;2.791;7.525;7.222;7.372;7.514;4.832;2.791;H;;
uczelnia;U;3.692;2.692;2.192;3.038;2.269;5.308;6.834;7.276;6.528;7.046;5.158;5.158;N;;
uczestniczyæ;U;3.385;1.462;1.385;2.269;1.308;4.453;6.628;6.698;5.849;6.755;3.127;3.127;N;;
uczucie;U;5.077;2.500;2.923;2.923;2.154;4.795;7.762;7.464;7.395;7.995;6.010;4.795;H;;
udany;H;5.500;1.346;1.154;1.385;1.154;1.875;7.464;7.630;7.423;7.616;4.738;1.875;H;;
udaremniaæ;U;2.808;2.462;2.423;2.385;1.846;5.826;6.522;6.618;6.631;7.009;4.115;4.115;N;;
udawaæ;U;1.500;3.385;3.231;2.538;3.577;7.831;6.380;6.425;7.158;6.229;5.316;5.316;N;;
uderzenie;U;1.577;4.308;3.154;4.077;2.923;8.476;6.176;7.410;6.539;7.577;6.396;6.176;A;;
udowadniaæ;U;3.556;2.370;1.667;2.444;1.259;4.710;6.154;6.878;6.105;7.218;3.993;3.993;N;;
udowodniæ;U;3.615;2.577;1.577;2.346;1.423;4.855;6.121;7.208;6.456;7.297;4.271;4.271;N;;
udzia³;U;3.630;1.667;1.481;2.074;1.519;4.207;6.574;6.736;6.155;6.700;3.379;3.379;N;;
udzielaæ;N;2.269;1.731;1.423;1.692;1.346;5.323;5.933;6.318;6.062;6.396;2.192;2.192;N;;
ufaæ;U;5.185;1.815;1.889;2.667;1.444;3.464;7.654;7.593;6.932;7.880;5.308;3.464;H;;
ufny;U;3.963;1.556;1.778;2.370;1.333;4.016;7.163;6.924;6.199;7.351;4.446;4.016;H;;
ujmowaæ;N;2.577;1.500;1.500;1.462;1.192;4.791;6.166;6.181;6.221;6.466;2.264;2.264;N;;
uk³ucie;U;1.346;3.192;2.962;4.000;3.077;8.086;6.597;6.874;5.983;6.809;5.338;5.338;N;;
ulepszaæ;U;5.077;1.462;1.462;2.346;1.500;3.130;7.525;7.484;6.749;7.479;4.982;3.130;H;;
ulewa;U;3.000;2.654;2.885;2.000;1.462;5.480;6.140;5.938;6.850;7.302;4.295;4.295;N;;
ulga;H;5.423;1.000;1.115;1.115;1.000;1.673;7.575;7.464;7.480;7.575;4.470;1.673;H;;
ulica;U;2.538;1.885;1.808;2.692;1.808;5.701;6.487;6.591;5.703;6.558;3.374;3.374;N;;
ulotny;S;2.115;2.192;4.192;2.769;1.346;6.752;6.773;4.556;6.222;7.524;4.717;4.556;S;;
umieraæ;U;1.000;3.269;5.769;4.615;2.269;9.530;8.113;5.578;7.040;8.796;7.062;5.578;S;;
umowa;U;3.385;2.115;1.769;2.731;1.846;5.301;6.751;7.048;6.206;7.013;4.110;4.110;N;;
umyœlny;U;2.038;3.038;2.269;2.538;2.000;6.576;5.533;6.469;6.229;6.712;3.957;3.957;N;;
unicestwiæ;U;1.692;4.077;4.192;4.885;3.500;8.892;7.275;7.249;6.645;7.872;7.154;6.645;F;;
unikaæ;U;1.778;3.370;2.741;3.185;2.481;7.325;5.925;6.618;6.132;6.858;4.888;4.888;N;;
uni¿ony;U;1.731;2.692;2.731;1.885;2.423;6.841;6.008;5.981;6.852;6.253;4.064;4.064;N;;
upadaæ;U;1.346;3.154;3.308;3.269;1.538;7.559;5.866;5.810;5.865;7.417;4.631;4.631;N;;
upadek;U;1.500;3.538;4.000;3.885;2.423;8.127;6.614;6.212;6.331;7.662;5.761;5.761;N;;
upad³oœæ;U;1.231;3.154;4.462;4.385;2.885;8.662;7.427;6.157;6.235;7.624;6.219;6.157;S;;
upalny;U;4.192;2.346;1.385;1.500;1.769;3.842;6.333;7.207;7.108;6.903;4.317;3.842;H;;
uparty;A;2.654;3.615;2.385;1.885;2.038;6.212;5.460;6.765;7.219;7.051;4.540;4.540;N;;
upodobanie;U;4.308;1.538;1.692;1.731;1.231;3.549;6.897;6.795;6.770;7.186;3.922;3.549;H;;
upojny;H;5.269;1.154;1.500;1.615;1.346;2.416;7.616;7.315;7.229;7.452;4.695;2.416;H;;
upominaæ;A;1.346;3.885;2.808;2.846;2.615;7.629;5.470;6.519;6.530;6.769;4.861;4.861;N;;
upomnienie;U;1.519;3.630;3.037;3.407;2.037;7.548;5.615;6.286;5.970;7.180;4.963;4.963;N;;
upowa¿niaæ;U;2.370;1.407;1.481;2.370;1.148;5.281;6.335;6.230;5.324;6.566;2.328;2.328;N;;
uprawa;U;2.885;1.269;1.308;1.654;1.231;4.637;6.510;6.506;6.174;6.541;2.519;2.519;N;;
uprawiaæ;U;4.259;1.296;1.444;1.593;1.111;3.239;7.005;6.845;6.730;7.154;3.673;3.239;H;;
uprzywilejowany;U;2.846;2.423;1.654;1.885;2.269;5.421;6.171;6.888;6.630;6.361;3.694;3.694;N;;
urlop;U;5.222;1.370;1.593;1.778;1.333;2.589;7.597;7.364;7.262;7.612;4.856;2.589;H;;
urlopowicz;U;4.385;1.423;1.192;1.192;1.231;2.940;6.860;7.135;7.129;7.066;3.804;2.940;H;;
urna;S;1.115;2.538;4.577;3.577;2.692;8.398;7.449;5.432;6.574;7.309;5.542;5.432;S;;
uroczy;H;5.185;1.259;1.519;1.296;1.185;2.361;7.424;7.223;7.417;7.486;4.488;2.361;H;;
uroczystoœæ;U;4.692;1.692;1.500;2.269;1.577;3.818;7.289;7.424;6.805;7.324;4.636;3.818;H;;
urodziny;U;5.500;1.577;1.846;1.692;1.346;2.557;7.626;7.345;7.488;7.806;5.135;2.557;H;;
urojenie;U;1.692;3.077;3.731;4.692;2.962;8.353;7.447;6.954;5.819;7.609;6.195;5.819;F;;
urok;U;4.115;2.077;2.231;2.231;2.308;4.643;7.385;7.194;7.260;7.263;5.046;4.643;H;;
urwis;U;2.852;3.111;2.111;2.185;1.963;5.728;5.745;6.800;6.706;6.919;4.213;4.213;N;;
urz¹d;U;1.269;4.077;2.462;3.000;3.269;8.044;5.836;7.258;6.617;6.577;5.200;5.200;N;;
urzêdnik;U;1.593;3.407;2.185;2.630;2.889;7.216;5.579;6.885;6.462;6.137;4.390;4.390;N;;
us³ugiwaæ;U;1.654;3.346;2.654;1.654;2.846;7.003;5.709;6.463;7.263;6.289;4.285;4.285;N;;
ustalaæ;U;2.815;1.778;1.370;2.000;1.148;4.888;6.204;6.570;5.928;6.785;2.758;2.758;N;;
ustalenie;N;2.333;1.444;1.333;1.444;1.259;5.115;6.191;6.316;6.194;6.400;1.841;1.841;N;;
ustawa;U;1.846;2.615;2.231;2.769;2.385;6.768;6.279;6.610;6.105;6.472;3.668;3.668;N;;
ustêpowaæ;A;2.808;3.000;2.154;1.885;1.577;5.391;5.362;6.374;6.620;6.907;4.113;4.113;N;;
usuwaæ;U;1.815;2.852;2.926;3.296;2.037;7.121;6.257;6.279;5.777;7.034;4.369;4.369;N;;
uœmiech;H;6.333;1.074;1.296;1.259;1.111;1.017;8.101;7.925;7.939;8.077;5.492;1.017;H;;
utalentowany;U;5.077;2.154;1.885;1.731;1.500;3.417;7.205;7.427;7.505;7.690;4.950;3.417;H;;
utarczka;A;1.444;3.370;2.444;2.444;1.963;7.094;5.218;6.330;6.269;6.681;3.814;3.814;N;;
uton¹æ;U;1.074;2.852;5.037;5.852;2.704;9.626;8.562;6.801;5.778;8.683;7.348;5.778;F;;
utrudniaæ;U;1.192;4.500;4.077;3.538;2.962;8.730;6.051;6.472;7.004;7.443;6.263;6.051;A;;
utykaæ;S;1.259;2.407;3.333;2.185;1.593;7.113;6.149;4.982;6.362;6.885;3.555;3.555;N;;
uwalniaæ;U;5.077;1.538;1.731;2.462;1.423;3.380;7.731;7.597;6.902;7.816;5.115;3.380;H;;
